station_code,station_name,latitude,longitude,state,zone,has_coordinates
AML,Amalsad,20.811373000000003,72.956092,Gujarat,WR,True
AMLA,Amla,21.919717000000002,78.123187,,,True
AMLI,Amli,25.828156,76.286156,,,True
AMLP,Amalpur,22.161144,73.508313,Gujarat,WR,True
AMM,Adirampatinam,10.332285228976446,79.38580758869648,Tamil Nadu,SR,True
AMNE,Amalner Bhandyache,,,,,False
AMO,Amolwa,27.211161,84.478487,Bihar,ECR,True
AMP,Ahamadpur,23.8325090573,87.6928410938,,,True
AMPA,Ambalappuzha,9.386059,76.363817,Kerala,SR,True
AMPL,Ammapalli Halt,25.2724414889,87.4585745682,,,True
AMPR,Amarpura Rathan,29.483399000000002,74.078953,Rajasthan,NWR,True
AMQ,Ammuguda,17.487039,78.527215,Andhra Pradesh,SCR,True
AMRO,Amroha,28.892688,78.474329,,,True
AMSA,Ammasandra,13.264571,76.71148570000001,Karnataka,SWR,True
AN,Amalner,21.049008999999998,75.057314,,,True
ANA,Aslana,23.860522,79.319493,,,True
ANAS,Anas,22.866009,74.421513,,,True
ANB,Ammanabrolu,15.596402,80.148353,,,True
ANCR,Anchuri,23.283904,86.993174,West Bengal,SER,True
AND,Andampaliam,12.088426380000001,79.16898527,Tamil Nadu,SR,True
ANDI,Adarsh Nagar Delhi,28.714205,77.16670699999999,,,True
ANDN,Anand Nagar,27.103714,83.270698,Uttar Pradesh,NER,True
ANE,Anantarajupet,13.999592,79.30246799999999,,,True
ANF,Anandapuram,14.073324,75.209164,Karnataka,SWR,True
ANG,Ahmadnagar,19.075519477700002,74.721882467,,,True
ANGL,Angul,20.859445,85.099994,,,True
ANGR,Angadgeri Halt,16.451873659999997,75.84589116000001,Karnataka,SWR,True
ANI,Ajanti,21.893954,76.285956,Madhya Pradesh,WR,True
ANK,Ankai,20.1510279143,74.4697560736,,,True
ANKL,Ankola,14.645347,74.332936,Karnataka,KR,True
ANMD,Arang Mahanadi,21.189614,81.955513,,,True
ANND,Anand,22.561307,72.965733,,,True
ANO,Anjani,17.620604999999998,73.399308,Maharashtra,KR,True
