segment,mean,median,std,count
DDCC->MMR,33.23529411764706,4.0,69.31317462409717,17
VDS->CRJ,7.647058823529412,0.0,18.98664391246709,17
VG->MSH,12.529411764705882,0.0,32.0509704358909,17
BWM->RTM,65.52941176470588,0.0,187.8364041017671,17
KP->KNHN,61.529411764705884,44.0,53.542176887780286,17
AGC->BHA,3.764705882352941,2.0,2.818009309883173,17
VGLJ->BWR,30.647058823529413,19.0,41.30669010050095,17
VKB->SC,16.058823529411764,0.0,26.810610278943887,17
VM->CDM,5.235294117647059,0.0,10.365383566013765,17
SGZ->RTM,101.05882352941177,48.0,151.11852574561934,17
AEH->SMTL,0.0,0.0,0.0,17
PNU->GNC,7.529411764705882,0.0,17.121323134686552,17
KPY->OCR,12.0,11.0,11.494563932572646,17
ADRA->BJE,44.411764705882355,34.0,34.87488140397292,17
ADL->KGP,158.76470588235293,29.0,225.60156510199698,17
DMO->ANA,25.647058823529413,13.0,50.12851131899713,17
ADL->DKAE,224.52941176470588,16.0,417.6407124621381,17
BVH->FDN,59.76470588235294,44.0,61.97230168769422,17
BJNR->MDL,9.764705882352942,0.0,22.51535423817685,17
BAO->RRU,21.41176470588235,22.0,6.874398369397607,17
JJG->LGL,0.11764705882352941,0.0,0.4850712500726659,17
JJ->MIA,5.411764705882353,4.0,2.8517280622767083,17
PNBE->BXR,22.470588235294116,0.0,49.00397642928942,17
BPQ->G,57.705882352941174,38.0,66.4386603434724,17
MS->CGL,106.94117647058823,0.0,253.9720630768853,17
MS->BZA,11.588235294117647,2.0,14.291863172490018,17
KTRA->SOR,43.35294117647059,38.0,18.62773864586959,17
DLGN->JTRD,39.76470588235294,12.0,69.2455137642186,17
DLI->BGZ,51.529411764705884,7.0,76.48293735129656,17
KRQ->VGLJ,6.176470588235294,0.0,14.470812408593577,17
BJE->VAA,39.76470588235294,28.0,33.844366982861246,17
BJE->ADRA,61.411764705882355,65.0,47.04526918767897,17
DKD->VKN,4.647058823529412,0.0,8.831344578195528,17
